State,NameOfFirm,URL,PrimaryContact,Address,Phone,ListOfStaff,Website,Specialities
Kansas,"L Marie Interior Design, LLC",https://remodelingdoneright.nari.org/remodelers/12606937/Details/,Lauren Balestrieri UDCP,"Olathe, KS",(816)304-4720,Lauren Balestrieri UDCP,http://www.lmarieinteriors.com/,Interior Design;Design/Build;Remodeling Contractor;Contractor
Kansas,"A+ Insulation, LLC",https://remodelingdoneright.nari.org/remodelers/12612252/Details/,Jeff Kuhn,"Lenexa, KS",(913) 281-2250,Jeff Kuhn,http://www.insulatekansascity.com/,Remodeling Contractor;Contractor;Insulation Contractor;Residential & Commercial Remodel
Kansas,Air Care Heating & Cooling,https://remodelingdoneright.nari.org/remodelers/12541968/Details/,Shane McClure,"Shawnee, KS",(913)362-5274,Shane McClure,http://www.aircarekc.com/,Contractor;Heating Air Conditioning Contractor
Kansas,All Current Electric,https://remodelingdoneright.nari.org/remodelers/12619504/Details/,Eric Fernandez,"Overland Park, KS",(913) 825-3506,Eric Fernandez,http://www.allcurrentelectrickc.com/,Residential & Commercial Remodel;Electrical Services;Contractor;Lighting Contractor;Remodeling Contractor
Kansas,"All-Weather Window, Doors & Siding/Andersen Windows",https://remodelingdoneright.nari.org/remodelers/12285338/Details/,Doug Bennett,"Overland Park, KS",(913) 624-9900,Doug Bennett,http://www.allweatherkc.com/,Remodeling Contractor;Insulation Contractor;Siding Contractor;Contractor;Windows/Doors
Kansas,Ann Egan Interior Design,https://remodelingdoneright.nari.org/remodelers/12689157/Details/,"Ann Egan, ASID","Prairie Village, KS",(913) 522-1973,"Ann Egan, ASID",,Interior Design
Kansas,Apex Tile & Flooring,https://remodelingdoneright.nari.org/remodelers/12633807/Details/,Jameson Griffith,"Stilwell, KS",(913) 239-0588,Jameson Griffith,http://www.apextile.net/,Remodeling Contractor;Flooring Contractor;Contractor;Tile Contractor;Kitchens/Baths
Kansas,Backyard Dimensions,https://remodelingdoneright.nari.org/remodelers/12674490/Details/,Scott Myers,"Shawnee, KS",(913) 645-5200,Scott Myers,,Contractor
Kansas,Banner Garage,https://remodelingdoneright.nari.org/remodelers/12687061/Details/,Ed Jenkins,"Shawnee, KS",(913) 353-9800,Ed Jenkins,http://www.bannergaragekc.com/,Garage;Cabinet Installer;Flooring Contractor
Kansas,Belfor Property Restoration,https://remodelingdoneright.nari.org/remodelers/12693665/Details/,Shawnn Hawkins,"Kansas City, KS",913-371-8200,Shawnn Hawkins,http://www.belfor.com/,Restoration;Water Damage
Kansas,Big Bob's Flooring & Big Bob's Commercial,https://remodelingdoneright.nari.org/remodelers/12690597/Details/,Cordell McDonald,"Overland Park, KS",(913) 362-2627,Cordell McDonald,http://www.bigbobsoutlet.com/,Flooring
Kansas,"BMB Designs, LLC",https://remodelingdoneright.nari.org/remodelers/12619508/Details/,Benita Brewer,"Overland Park, KS",(913) 339-8446,Benita Brewer,http://designergal921.houzz.com/,Kitchens/Baths;Interior Design
Kansas,Braco Stone,https://remodelingdoneright.nari.org/remodelers/12610019/Details/,Scott Bray,"Kansas City, KS",(816) 471-5005,Scott Bray,http://www.bracostone.com/,Contractor;Remodeling Contractor;Marble & Stone;Countertop Installers;Countertops;Tile Contractor
Kansas,Collective Design Studio,https://remodelingdoneright.nari.org/remodelers/12691467/Details/,Heather Braland,"Stilwell, KS",913-897-2172,Heather Braland,http://www.collectivedesignstudio.net/,Designer/Architect
Kansas,"Connelly Plumbing Solutions, LLC.",https://remodelingdoneright.nari.org/remodelers/12669760/Details/,Steve Connelly,"Lenexa, KS",(913) 768-7676,Steve Connelly,http://www.connellyplumbingsolutions.com/,Plumbing Contractor;Plumbing;Specialty Contractor
Kansas,CSW,https://remodelingdoneright.nari.org/remodelers/12562637/Details/,Jerry Lee,"Shawnee, KS",913-351-3500,Jerry Lee,http://www.canaanstoneworks.com/,Countertops;Contractor;Remodeling Contractor;Wholesaler-Marble & Granite
Kansas,"Design Connection, Inc.",https://remodelingdoneright.nari.org/remodelers/12533515/Details/,Arlene Ladegaard,"Overland Park, KS",(913)851-8776,Arlene Ladegaard,http://www.designconnectioninc.com/,Contractor;Design Firm;Interior Design
Kansas,"Dimensional Stoneworks, LLC",https://remodelingdoneright.nari.org/remodelers/12290049/Details/,Colleen Murphy,"Overland Park, KS",913-851-9390,Colleen Murphy,http://www.csttile.com/,Tile;Contractor
Kansas,"Fountain Glass, Inc.",https://remodelingdoneright.nari.org/remodelers/12548360/Details/,Julie Kessler,"Lenexa, KS",(913)764-6014,Julie Kessler,http://fountainglass.com/,Remodeling Contractor;Specialty Contractor
Kansas,Gaylord Glass,https://remodelingdoneright.nari.org/remodelers/12606636/Details/,Stephen Gaylord,"Kansas City, KS",(913) 927-8664,Stephen Gaylord,http://www.gaylordglasskc.com/,Remodeling Contractor;Contractor;Specialty Contractor
Kansas,GoliathTech KC,https://remodelingdoneright.nari.org/remodelers/12694329/Details/,Ronnie Settles,"Leawood, KS",(816) 332-1300,Ronnie Settles,https://www.goliathtechpiles.com/,
Kansas,Granite Transformations of Kansas City,https://remodelingdoneright.nari.org/remodelers/12540137/Details/,Jim Fee,"Lenexa, KS",(913) 492-7600,Jim Fee,http://www.granitetransformations.com/,Contractor;Countertops;Kitchens/Baths;Remodeling Contractor;Residential & Commercial Remodel;Green Remodeler;Cabinets - Refacing
Kansas,"HCS Restoration KC, LLC",https://remodelingdoneright.nari.org/remodelers/12668977/Details/,Mike Peace,"Mission, KS",913-271-8525,Mike Peace,http://www.hailclaimspecialist.com/,Specialty Contractor;Gutters;Siding Contractor;Windows/Doors;Roofing Contractor
Kansas,Homedia Solutions,https://remodelingdoneright.nari.org/remodelers/12670629/Details/,Shawn Blancho,"Shawnee, KS",(913) 708-2284,Shawn Blancho,http://www.homediasolutions.com/,
Kansas,"J III Enterprises, Inc.",https://remodelingdoneright.nari.org/remodelers/12691702/Details/,Jimmy Blecher,"Lenexa, KS",913-206-8222,Jimmy Blecher,http://www.jiiienterprises.com/,Drywall;Specialty Contractor
Kansas,"Johnson County Siding & Window Co., Inc.",https://remodelingdoneright.nari.org/remodelers/12571068/Details/,Bill Christie,"Olathe, KS",(913) 782-2878,Bill Christie,http://www.jocosiding.com/,Siding Contractor;Brick/Stone;Windows/Doors;Contractor;Remodeling Contractor;Gutters
Kansas,KC Deck Pro,https://remodelingdoneright.nari.org/remodelers/12633811/Details/,JD Gower,"Overland Park, KS",(913) 748-7411,JD Gower,http://www.kcdeckpro.com/,Deck Contractor
Kansas,KC Lift & Elevator,https://remodelingdoneright.nari.org/remodelers/12673492/Details/,Maria Koch,"Lenexa, KS",(913) 327-5557,Maria Koch,http://www.kclift.com/,Stair Systems
Kansas,KC Property Solutions LLC,https://remodelingdoneright.nari.org/remodelers/12690090/Details/,Bill Ostronic,"Lenexa, KS",913-438-2900,Bill Ostronic,http://www.kcpsllc.com/,Contractor
Kansas,"Lee Drywall, Plaster & Stucco",https://remodelingdoneright.nari.org/remodelers/105814/Details/,Tom Lee,"Shawnee, KS",(913) 927-1501,Tom Lee,,Remodeling Contractor;Contractor;Drywall
Kansas,Lorax Design Group,https://remodelingdoneright.nari.org/remodelers/12692597/Details/,Kurt Kraisinger,"Overland Park, KS",913-972-7244,Kurt Kraisinger,http://www.loraxdesigngroup.com/,
Kansas,Made in the Shade KC,https://remodelingdoneright.nari.org/remodelers/12686163/Details/,Jeremy Nienhuser,"Shawnee, KS",(913) 210-5150,Jeremy Nienhuser,http://www.mitskc.com/,Window Treatments
Kansas,Midwest Fireplace,https://remodelingdoneright.nari.org/remodelers/12591657/Details/,Mark Lapine,"Olathe, KS",(913) 764-5575,Mark Lapine,http://www.midwestfireplacekc.com/,Remodeling Contractor;Sub-Contractor;Contractor;Fireplaces/Chimneys
Kansas,"Midwest Skylight, LLC",https://remodelingdoneright.nari.org/remodelers/12553891/Details/,Jeff Ogg,"Overland Park, KS",(913)492-2989,Jeff Ogg,http://www.midwestskylight.com/,Windows/Doors;Remodeling Contractor;Specialty Contractor;Contractor
Kansas,Orion Design,https://remodelingdoneright.nari.org/remodelers/12601967/Details/,Elizabeth Rishel,"Shawnee, KS",(816) 729-6288,Elizabeth Rishel,http://www.designbyorion.com/,Interior Design;Remodeling Contractor;Contractor
Kansas,Pileggi Painting,https://remodelingdoneright.nari.org/remodelers/12599826/Details/,Frank Pileggi,"Stilwell, KS",(913) 558-5204,Frank Pileggi,http://www.pileggipainting.com/,Contractor;Painting;Remodeling Contractor
Kansas,R&R Flooring and Home Improvement,https://remodelingdoneright.nari.org/remodelers/12689168/Details/,Eddy Lopez,"Olathe, KS",(913) 712-8453,Eddy Lopez,http://www.rrflooring.net/,Flooring Contractor
Kansas,Rocktops Granite & Stone Fabrication,https://remodelingdoneright.nari.org/remodelers/12645126/Details/,Cayce Richardson,"Olathe, KS",(913) 782-0802,Cayce Richardson,http://www.rocktopskc.com/,Remodeling Contractor;Wholesaler-Marble & Granite;Contractor;Marble & Stone;Countertops
Kansas,"Rusty's Dandy Painting, Inc.",https://remodelingdoneright.nari.org/remodelers/12281463/Details/,Rusty Davidson,"Prairie Village, KS",(913)341-9125,Rusty Davidson,http://www.rustysdandypainting.com/,Cabinets - Refacing;Contractor;Painting;Remodeling Contractor
Kansas,Ryan Electric,https://remodelingdoneright.nari.org/remodelers/12687067/Details/,Matt Davis,"Lenexa, KS",(913) 406-7700,Matt Davis,http://www.ryanelectric-ks.com/,Electrical Services
Kansas,Sarto Countertops,https://remodelingdoneright.nari.org/remodelers/12694090/Details/,Phil Aitken,"Lenexa, KS",(913)320-0222,Phil Aitken; Cassi Mayer,http://www.sartocountertops.com/,
Kansas,SERVPRO of Leavenworth & NW Wyandotte Co. & West Topeka,https://remodelingdoneright.nari.org/remodelers/12583900/Details/,Dan Thorman,"Leavenworth, KS",(913) 772-1818,Dan Thorman,http://www.servproleavenworthnwwyandottecounty.com/,Disaster Recovery Services;Restoration;Contractor;Residential & Commercial Remodel;Remodeling Contractor;Additions
Kansas,Treadwell,https://remodelingdoneright.nari.org/remodelers/12687521/Details/,Brandon Powers,"Olathe, KS",(913) 396-6216,Brandon Powers,http://www.treadwellkc.com/,Flooring Contractor;Flooring
Kansas,Williams Insulation and Gutters,https://remodelingdoneright.nari.org/remodelers/12623262/Details/,David Belzer,"Kansas City, KS",(913) 321-6804,David Belzer,http://www.truteam.com/,Remodeling Contractor;Insulation Contractor;Contractor
Kansas,X/O Exteriors & Outdoors,https://remodelingdoneright.nari.org/remodelers/12693670/Details/,Andrew Hite,"Olathe, KS",913-201-6234,Andrew Hite,http://www.xoexteriors.com/,Contractor;Windows/Doors;Siding Contractor
Kansas,Architectural Granite & Marble,https://remodelingdoneright.nari.org/remodelers/12530409/Details/,Ashley Gallardo,"Lenexa, KS",(913)438-7625,Ashley Gallardo,http://www.agmgranite.com/,Bath;Tile;Wholesaler-Marble & Granite
Kansas,Atronic Alarms,https://remodelingdoneright.nari.org/remodelers/12587005/Details/,Jason Rothove,"Lenexa, KS",(913) 362-0000,Jason Rothove,http://www.atronicalarms.com/,Home Technology Products & Services;Security
Kansas,AZEK & Timber Tech Products,https://remodelingdoneright.nari.org/remodelers/12542705/Details/,Ron Hladik,"Mulvane, KS",(316) 570-0156,Ron Hladik,http://www.azek.com/,Millwork;Moulding;Decks & Patios;Building Materials/Supplies
Kansas,Bona US,https://remodelingdoneright.nari.org/remodelers/12691124/Details/,Brad West,"Shawnee, KS",720-297-0667,Brad West,http://www.bona.com/,Building Materials/Supplies;Flooring
Kansas,"Broan-Nutone, LLC/Best",https://remodelingdoneright.nari.org/remodelers/12646700/Details/,Jill Evans,"Shawnee, KS",262-422-3839,Jill Evans,http://www.broan.com/,Ventilation
Kansas,Builders FirstSource,https://remodelingdoneright.nari.org/remodelers/12283262/Details/,Dennis Donnelly,"Overland Park, KS",(913)962-5227 (114),Dennis Donnelly,http://www.kcbuilding.com/,Cabinet Installer;Millwork;Building Materials/Supplies;Windows/Doors
Kansas,Canyon Stone/Plygem Inc.,https://remodelingdoneright.nari.org/remodelers/12606334/Details/,Matt Puckett,"Olathe, KS",(913) 254-9300,Matt Puckett,http://www.canyonstone.com/,Brick/Stone;Remodeling Contractor;Masonry Contractor
Kansas,Cosentino North America,https://remodelingdoneright.nari.org/remodelers/12612255/Details/,Jose Del Bosque,"Lenexa, KS",(913) 888-0935,Jose Del Bosque,http://www.cosentinonorthamerica.com/,Wholesaler-Marble & Granite;Countertops;Marble & Stone
Kansas,"Custom Wood Products, Inc.",https://remodelingdoneright.nari.org/remodelers/12619510/Details/,Lindsey Gibson,"Lenexa, KS",(800) 477-3130,Lindsey Gibson,http://www.cwponline.com/,Doors;Kitchens/Baths;Cabinets
Kansas,Dacor,https://remodelingdoneright.nari.org/remodelers/12672971/Details/,Scott Dumm,"Olathe, KS",(626) 238-5604,Scott Dumm,http://www.dacor.com/,Appliances
Kansas,Deckorators,https://remodelingdoneright.nari.org/remodelers/12629939/Details/,Jeff Falke,"Overland Park, KS",(314) 704-8517,Jeff Falke,http://www.deckorators.com/,Products;Decks & Patios;Manufacturer
Kansas,"Doolittle Distributing, Inc.",https://remodelingdoneright.nari.org/remodelers/12284764/Details/,Randy Korte,"Lenexa, KS",(913)888-7820,Randy Korte,http://www.ddius.com/,Appliances;Wholesaler
Kansas,Emser Tile,https://remodelingdoneright.nari.org/remodelers/12615941/Details/,David Domenick,"Lenexa, KS",(913) 894-4888,David Domenick,http://www.emser.com/,Flooring;Brick/Stone/Marble/Granite;Tile
Kansas,"Factory Direct Appliance, a Ferguson Enterprise",https://remodelingdoneright.nari.org/remodelers/122950/Details/,Steve Johnson,"Lenexa, KS",(913)888-8028,Steve Johnson,http://www.kcfda.com/,Appliances;Wholesaler
Kansas,"Ferguson Bath, Kitchen & Lighting Gallery",https://remodelingdoneright.nari.org/remodelers/12282933/Details/,Christine Hawkins,"Lenexa, KS",(913)752-5660,Christine Hawkins,http://www.ferguson.com/,Plumbing;Appliances;Building Materials;Lighting
Kansas,Fireplace & BarBQ Center,https://remodelingdoneright.nari.org/remodelers/12592554/Details/,Jonathan Kelly,"Overland Park, KS",(913)383-2286,Jonathan Kelly,http://www.fireplacecenterkc.com/,Fireplaces/Chimneys;Remodeling Contractor;Outdoor Living/Kitchens
Kansas,Great Lakes Window,https://remodelingdoneright.nari.org/remodelers/12675492/Details/,Mike Haggerty,"Shawnee, KS",913.271.2116,Mike Haggerty,http://www.greatlakeswindow.com/,Window Manufacturer
Kansas,Kansas City Cabinet Supply,https://remodelingdoneright.nari.org/remodelers/12570413/Details/,Brian McBee,"Overland Park, KS",(913) 627-9591,Brian McBee,http://www.kccabinetsupply.com/,Cabinets;Countertops
Kansas,Kansas City Millwork,https://remodelingdoneright.nari.org/remodelers/113386/Details/,Chad Vriezelaar,"Olathe, KS",(913)768-0068,Chad Vriezelaar,http://www.kcmillwork.com/,Millwork;Windows/Doors;Cabinets
Kansas,Kitchens & Baths by Briggs,https://remodelingdoneright.nari.org/remodelers/12606337/Details/,Lynn Nelson,"Lenexa, KS",(913) 387-4900,Lynn Nelson,http://www.kbbriggs.com/,Kitchens/Baths;Plumbing
Kansas,Kohler Co.,https://remodelingdoneright.nari.org/remodelers/12615604/Details/,Nicole Bell,"Leawood, KS",(913) 284-2318,Nicole Bell,http://www.kohler.com/,Plumbing;Kitchens/Baths
Kansas,"Locks & Pulls, Inc.",https://remodelingdoneright.nari.org/remodelers/12281460/Details/,John Hensley,"Overland Park, KS",(913)381-1335,John Hensley,http://www.locksandpullskc.com/,Building Supplies
Kansas,McCray Lumber & Millwork,https://remodelingdoneright.nari.org/remodelers/12566688/Details/,Gene Bosley,"Edwardsville, KS",(913) 422-1300,Gene Bosley,http://www.mccraylumber.com/,Siding;Millwork;Building Supplies;Windows/Doors
Kansas,Millard Lumber,https://remodelingdoneright.nari.org/remodelers/12633816/Details/,Ray Moore,"Lenexa, KS",(913) 592-0001,Ray Moore,http://www.millardlumber.com/,Insulation;Building Materials;Cabinets;Millwork;Windows/Doors;Wood;Roofing;Siding
Kansas,MSI,https://remodelingdoneright.nari.org/remodelers/12645509/Details/,Ali Lauck,"Lenexa, KS",(913) 953-3200,Ali Lauck,http://www.msistone.com/,Tile;Brick/Stone/Marble/Granite
Kansas,NiteLites of Kansas City Outdoor Lighting,https://remodelingdoneright.nari.org/remodelers/12606640/Details/,Doug Bringman,"Overland Park, KS",913-871-1299,Doug Bringman,http://www.nitelites.com/,Contractor;Lighting Contractor
Kansas,NSC Applied Products Group,https://remodelingdoneright.nari.org/remodelers/12694089/Details/,Phil Aitken,"Lenexa, KS",(816)213-6340,Phil Aitken; Chris Thompson,http://www.nscapg.com/,
Kansas,"One Stop Decorating Center, Inc.",https://remodelingdoneright.nari.org/remodelers/12543861/Details/,Steve Roellchen,"Shawnee, KS",(913)631-0088,Steve Roellchen,http://www.onestopdecorating.com/,Window Treatments;Interior Design;Painting
Kansas,Overhead Door Company of Kansas City,https://remodelingdoneright.nari.org/remodelers/121621/Details/,Ed Forsyth,"Olathe, KS",(816)221-0072,Ed Forsyth,http://www.overheaddoorkc.com/,Garage Doors
Kansas,Pella Windows & Doors of Kansas City,https://remodelingdoneright.nari.org/remodelers/12281102/Details/,John Vance,"Lenexa, KS",913-492-7927,John Vance,http://www.pellakc.com/,Windows/Doors
Kansas,ProSource of Kansas City West,https://remodelingdoneright.nari.org/remodelers/12606570/Details/,John Shafer,"Overland Park, KS",(913)599-4488,John Shafer,http://www.prosourcefloors.com/,Flooring Contractor;Tile Contractor;Contractor;Remodeling Contractor
Kansas,Renewal by Andersen,https://remodelingdoneright.nari.org/remodelers/12559000/Details/,Corrina Eisenhart,"Lenexa, KS",(913) 385-1300,Corrina Eisenhart,http://www.renewalbyandersen.com/,Specialty Contractor;Windows/Doors
Kansas,Richards Building Supply,https://remodelingdoneright.nari.org/remodelers/91138/Details/,Jason Pennington,"Kansas City, KS",(816)746-0020,Jason Pennington,http://www.aswcorp.net/,Building Supplies
Kansas,Royal Energy Inc.,https://remodelingdoneright.nari.org/remodelers/12693668/Details/,Jim Baldauf,"Lenexa, KS",913-488-1033,Jim Baldauf,http://www.royal-energy.com/,
Kansas,"Surface Center Interiors, LLC.",https://remodelingdoneright.nari.org/remodelers/12601841/Details/,Rod Savage,"Shawnee, KS",(913) 422-0500,Rod Savage,https://www.sci-surfaces.com/,Remodeling Contractor;Contractor;Marble & Stone;Sub-Contractor;Tile Contractor
Kansas,The Home Depot,https://remodelingdoneright.nari.org/remodelers/12534015/Details/,Greg Maninger,"Merriam, KS",(913) 213-7072,Greg Maninger,http://www.homedepot.com/,Building Materials
Kansas,The Rug Studio,https://remodelingdoneright.nari.org/remodelers/12694092/Details/,Phil Aitken,"Overland Park, KS",(913)310-0800,Phil Aitken,http://www.rugskc.com/,
Kansas,The Sherwin-Williams Company,https://remodelingdoneright.nari.org/remodelers/12527462/Details/,Neal Sullivan,"Lenexa, KS",(913) 381-0057,Neal Sullivan,http://www.sherwin-williams.com/,Building Materials/Supplies;Painting
Kansas,The Tile Shop,https://remodelingdoneright.nari.org/remodelers/12284665/Details/,Steve Bundy,"Shawnee, KS",(913) 648-6888,Steve Bundy,http://www.tileshop.com/,Retail;Tile
Kansas,Tyrer Wholesale Floor Covering,https://remodelingdoneright.nari.org/remodelers/12535200/Details/,Jason Tyrer,"Lenexa, KS",(913)897-7323,Jason Tyrer,http://www.tyrerwholesalefloorcovering.com/,Flooring;Tile
Kansas,Western Chandelier Co.,https://remodelingdoneright.nari.org/remodelers/12283471/Details/,Wayne Burton,"Overland Park, KS",(913)685-2000,Wayne Burton,http://www.westernchandelier.com/,Lighting
Kansas,Westport Glass,https://remodelingdoneright.nari.org/remodelers/12669390/Details/,Sean Dugan,"Kansas City, KS",(913) 671-8847,Sean Dugan,http://www.westportglass.com/,Bath;Windows/Doors
Kansas,"Wrap It Up, LLC",https://remodelingdoneright.nari.org/remodelers/12607147/Details/,Brian Porembski,"Merriam, KS",(913) 948-7752,Brian Porembski,http://www.wrapitupvehiclewraps.com/,Specialty Contractor;Contractor
Kansas,ABCO Supply,https://remodelingdoneright.nari.org/remodelers/12687287/Details/,Joanna Schiller,"Lenexa, KS",913-321-4100,Joanna Schiller,http://www.abcosupplyus.com/,Safety
Kansas,Aflac Business Solutions,https://remodelingdoneright.nari.org/remodelers/12691337/Details/,Logan Bax,"Leawood, KS",573-821-6663,Logan Bax,http://www.aflac.com/,Insurance
Kansas,"Anything on Anything, LLC",https://remodelingdoneright.nari.org/remodelers/12686846/Details/,Kim Christopher,"Basehor, KS",(913) 498-9082,Kim Christopher,http://www.anythingonanything.com/,Marketing Services
Kansas,Basys Processing,https://remodelingdoneright.nari.org/remodelers/12646045/Details/,Danny Turner,"Lenexa, KS",(913) 214-5029,Danny Turner,http://www.basyspro.com/,Business Services;Financial Services
Kansas,Capitol Federal Savings Bank,https://remodelingdoneright.nari.org/remodelers/12290388/Details/,Suzan Goerz-Hales,"Shawnee Mission, KS",(913)652-2541,Suzan Goerz-Hales,http://www.capfed.com/,Bank;Mortgage;Financial Services
Kansas,"Century Marketing, Inc.",https://remodelingdoneright.nari.org/remodelers/12542294/Details/,Phil Steinle,"Lenexa, KS",(913)696-9758,Phil Steinle,http://www.centurymarketinginc.com/,Marketing;Business Services/Consulting
Kansas,Chambers First Class Connections,https://remodelingdoneright.nari.org/remodelers/12673877/Details/,Rick Chambers,"Olathe, KS",(913) 963-6354,Rick Chambers,https://www.rbtv.news/,Marketing
Kansas,"Copeland Insurance Agency, Inc.",https://remodelingdoneright.nari.org/remodelers/12617703/Details/,Gib Keller,"Overland Park, KS",(913) 722-4300,Gib Keller,http://www.copelandins.com/,Insurance
Kansas,Core Bank,https://remodelingdoneright.nari.org/remodelers/12690788/Details/,David Chew,"Overland Park, KS",913-490-7400,David Chew,http://www.corebank.com/,Bank;Financial Services
Kansas,FindIt Digital,https://remodelingdoneright.nari.org/remodelers/12686852/Details/,Brendan Scarffe,"Overland Park, KS",(913) 933-3367,Brendan Scarffe,http://www.finditdigital.com/,Marketing Services
Kansas,FNBO-First National Bank of Omaha,https://remodelingdoneright.nari.org/remodelers/12691127/Details/,Brandy Kimble,"Shawnee, KS",913-226-7325,Brandy Kimble,http://ww.fnbo.com/,Bank;Financial Services
Kansas,Johnson County Community College,https://remodelingdoneright.nari.org/remodelers/12646681/Details/,Kathryn Grube,"Overland Park, KS",913-469-8500,Kathryn Grube,http://www.jccc.edu/,Education
Kansas,Kansas City Homes & Style,https://remodelingdoneright.nari.org/remodelers/12627337/Details/,Renee Demott,"Overland Park, KS",913-777-1071,Renee Demott,http://www.kchomesstyle.com/,Publisher
Kansas,Kansas City Kansas Community College,https://remodelingdoneright.nari.org/remodelers/12630815/Details/,Paul Hancock,"Kansas City, KS",(913) 288-7883,Paul Hancock,http://www.kckcc.edu/,Education
Kansas,KC RELO Magazine,https://remodelingdoneright.nari.org/remodelers/12631332/Details/,Robin Atkins,"Overland Park, KS",(913) 752-7221,Robin Atkins,http://www.kcrelomag.com/,Publisher
Kansas,KKLO Fox News Radio,https://remodelingdoneright.nari.org/remodelers/12670071/Details/,Gary Cashion,"Lenexa, KS",913-732-3390,Gary Cashion,http://www.kkloradio.com/,Media;Radio Station
Kansas,KR-HR,https://remodelingdoneright.nari.org/remodelers/12673882/Details/,Karen Hugley,"Overland Park, KS",913-645-7129,Karen Hugley,http://www.kr-hr.com/,
Kansas,Olathe Advanced Technical Center,https://remodelingdoneright.nari.org/remodelers/12669951/Details/,Amy Stolz,"Olathe, KS",(913) 780-7026,Amy Stolz,http://www.schoools.olatheschools.com/buildings/oatc,
Kansas,Pearce PR,https://remodelingdoneright.nari.org/remodelers/12691703/Details/,Jimmy Blecher,"Leawood, KS",(816)500-5911,Jimmy Blecher; Michaela Pearce,http://www.pearcepr.com/,Marketing Services;Professional Services
Kansas,PPG Paints,https://remodelingdoneright.nari.org/remodelers/12691350/Details/,Michelle Schneider,"Shawnee, KS",913-599-2700,Michelle Schneider,http://www.ppgpaints.com/,Paint & Finishes
Kansas,"Prime Capital Investment Advisors, LLC",https://remodelingdoneright.nari.org/remodelers/12611651/Details/,Steve Nelson,"Overland Park, KS",(913) 491-6226,Steve Nelson,http://www.pciawealth.com/,Financial;Business Services
Kansas,PunchListIt.com,https://remodelingdoneright.nari.org/remodelers/12667640/Details/,Dave Shafer,"Lenexa, KS",(913) 645-2192,Dave Shafer,http://www.punchlistit.com/,Business Services/Consulting
Kansas,Reilly Insurance - Commercial Insurance & Benefits,https://remodelingdoneright.nari.org/remodelers/12633818/Details/,Jim Bray,"Leavenworth, KS",(913) 682-1234,Jim Bray,http://www.reillyinsurance.com/,Business Services/Consulting;Insurance
Kansas,Sandler Training,https://remodelingdoneright.nari.org/remodelers/12645124/Details/,Dan Stalp,"Overland Park, KS",913-451-1760,Dan Stalp,http://www.danstalp.com/,Training Institution
Kansas,"Small Haul Containers, LLC",https://remodelingdoneright.nari.org/remodelers/12690213/Details/,Robby Gault,"Stilwell, KS",(913) 991-1595,Robby Gault,http://www.smallhaulcontainers.com/,Rentals
Kansas,Speedpro Imaging Shawnee,https://remodelingdoneright.nari.org/remodelers/12645515/Details/,Jeff Quast,"Shawnee, KS",(913) 441-7955,Jeff Quast,http://www.speedproshawnee.com/,Marketing Services;Professional Services
Kansas,Suiter Business Builder's Inc,https://remodelingdoneright.nari.org/remodelers/12544071/Details/,Victoria Suiter,"Olathe, KS",(415)884-0288,Victoria Suiter,http://www.suiterbusinessbuilders.com/,Financial
Kansas,TheHomeMag Kansas City,https://remodelingdoneright.nari.org/remodelers/12573077/Details/,Chris Zinn,"Olathe, KS",(913) 228-0004,Chris Zinn,http://www.thehomemag.com/KC,Media;Publisher
Kansas,Tradesmen International,https://remodelingdoneright.nari.org/remodelers/12691998/Details/,Matt Fuson,"Kansas City, KS",913-223-0587,Matt Fuson,http://www.tradesmeninternational.com/,
Kansas,Wilborn Advisors,https://remodelingdoneright.nari.org/remodelers/12670075/Details/,Marc Wilborn,"Overland Park, KS",(913) 827-9952,Marc Wilborn,http://www.wilbornadvisors.com/,Financial Services
Kentucky,Richards Home Improvement,https://remodelingdoneright.nari.org/remodelers/12285878/Details/,"Richard Johnson MCR, CKBR","Lexington, KY",(859)272-7235,"Richard Johnson MCR, CKBR",http://rhilexington.com/,Heating Air Conditioning Contractor;Windows/Doors;Roofing Contractor;Tile Contractor;Contractor;Siding Contractor;Additions;Kitchens/Baths;Plumbing Contractor;Remodeling Contractor
Kentucky,DAR Construction,https://remodelingdoneright.nari.org/remodelers/12693804/Details/,Derek Rideout,"La Grange, KY",502-693-5225,Derek Rideout,,Contractor
Kentucky,LP Building Solutions,https://remodelingdoneright.nari.org/remodelers/12689953/Details/,Rob Beckwith,"Louisville, KY",(502) 536-0456,Rob Beckwith,http://www.lpcorp.com/,Siding
Kentucky,"The Mengel Co., Inc.",https://remodelingdoneright.nari.org/remodelers/12612427/Details/,Art Mengel,"Prospect, KY",(502)228-4400,Art Mengel,http://www.mengelexteriorsystems.com/,Deck Contractor;Contractor;Windows/Doors;Remodeling Contractor;Siding Contractor;Gutters;Sunrooms
Kentucky,Mansion Hill Custom Floors,https://remodelingdoneright.nari.org/remodelers/12616171/Details/,Jeff Rose,"Newport, KY",(859) 581-1800,Jeff Rose,http://www.mansionhillcustomfloors.com/,Contractor;Remodeling Contractor;Flooring Contractor
Kentucky,"Pella Windows of Cincinnati, LLC",https://remodelingdoneright.nari.org/remodelers/12285221/Details/,Kevin Hillebrand,"Hebron, KY",(513) 948-8480,Kevin Hillebrand; Brett Howard,,Windows/Doors
